,text,sentiment_value
1311,"My First Gig Being A Hair Model, Omg Thanks just_kizzy For Thee Opportunity! Loved...  ",pos
1312, : Zedd Responds To BTS' Interest In A Collaboration With One Simple Tweet  ,pos
1313,"an academe of a phenomenon: aggregative, yet great",pos
1314,it feels like no matter how hard i try im a) not going to be able to pull up this F in pre calc and b) not even go...  ,pos
1315," : Since the failed coup in Turkey in July 2016, Russian propaganda has been pumping fake news, to an already Westopho... ",neg
1316,"""Smudge-proof eyeliner tip: 2. Apply, then trace over the line with a matching powder shadow. *Wet your shadow brush with Visine first.""",neu
1317," : His final play in Sanford Stadium was a 55-yard TD run.

Because of course it was. #DGD .  ",pos
1318, : Anybody who's trying to sell music in 2017 KNOWS it's a grind! So #support #SuiteLifeMusic   newest... ,neu
1319,      I'll have you know that one time at my friends house i was drunk and we were playin...  ,pos
1320," : Hillary Clinton vanishes for a year, going hiking and doing a book tour at a Costco and they blame her for everythi... ",neg
1321,"Won #ExLibris on 2017-11-19 with 2 players, winning score: 63 #bgstats Interesting, but definitely not Shelleys fa...  ",pos
1322,"If the moral of the Good Samaritan story was that you don't have to be in the ""right religion"" to b... by Brandon Chai  ",pos
1323," : Dear black women/men,

If an Arab calls you, hear them call or describe black people as ""abed"", proceed to beat the... ",pos
1324,look if they pop outta nowhere with a surprise performance im throwing my laptop out the window,neg
1325,me n essence aint had our netflix tuesdays in 2 weeks  i miss her,neg
1326, : Timmy Horton expresses how tough it can be when fishing during a post front condition when fish are lethargic.  ,neg
1327, : The only real difference between a revolution and a rebellion is if you win or not.,pos
1328,Pull a gun,neg
1329,a soft hair  ,neu
1330, : .  really knows how to put on a performance! #AMAs #ShazamAMAs  ,neu
1331,Seemed to be a lot of contact there. Oh well,pos
1332, : mac miller a genius 4 making faces.,neu
1333,So sad to visit JP without   ! Esp miss your gingerbread people cookies -- any way to get a postal order or the recipe?,pos
1334, : Mention President Trump ...      ,neu
1335, : This be my face when Im playing smash bros and a nigga say hold on he still got three lives  ,pos
1336," :  If you're a nazi and you're fired,
it's your fault!


If you're a nazi and you're fired,
it's your fault!


I... ",neg
1337,    Rob killed a guy...  ,neg
1338,"So, Im like really good with a sword...",pos
1339,Fully extended arms and no PI lol what eagles fan wants to tell me that was a clean play,pos
1340, : AMAs LIVESTREAM RT TO SAVE A LIFE   ,pos
1341," : THIS IS WHY WE TAKE A KNEE.. THIS IS WHY WE SCREAM FUCK THE POLICE, THIS IS WHY WE SAY BLM, THIS IS WHY WE PROTEST,... ",neg
1342," : BONUS: Because we love our Twitter Party participants, and we love coffee, we're giving away a   12 Cu... ",pos
1343," : me: *double texts a boy who left me on read*
government agent who reads all my texts: oh i see she's back on her bullshit again...",neg
1344," : Fam, can y'all imagine what'd be happening right now if Jalen Hurts or Lamar Jackson did something like this.  ",neg
1345," : If you want to support the development of Genesis and own more GEN, you can also donate to the project. There's als... ",pos
1346,If you YOGA... This is a must read. #yoga #yogalover #yogaaddict #yogateacher #yogafit #yogatime #yogagirl #yogalife  ,neu
1347,"Tonight on #KUWTK, my Kween   gets a scribe ",neu
1348,I added a video to a   playlist   Queens Of The Stone Age - Feel Good Hit Of The Summer,pos
1349,theyre having a great time im glad   ,pos
1350, : I'm a good nigga when it comes to relationship with a female,pos
1351," : Jackson Wang out there askin' if he was allowed to interview BTS even though he's not a reporter.

WHY JACKSON IS S... ",neu
1352, : text ur mcm Im tryna gobble your dick up like a thanksgiving plate and capture their response               ... ,neg
1353,  She need to dumb ass call herself got a kid.where tf is her husband,neg
1354, : Bill Nemitz: Building community one check at a time  ,neu
1355, : A bottle of windex was recording  ,neu
1356,It's not about prize but a motivation to wake up @ 8am & spend whole weekend brainstorming over an #idea  Keeping...  ,pos
1357," : 171120 Rachel Platten posted a photo with   RM, Jimin and J-hope #BTSxAMAs #AMAs LOL NAMJOONs FACE  (... ",pos
1358, : he literally just has a bag of snacks  ,neu
1359,"""Books have a unique way of stopping time in a particular moment and saying let's not forget this.""",pos
1360,"    Wait, what? You absolute horror show of a person.",neg
1361,"My week on Twitter : 3 Mentions, 26 Favorited, 2 Retweets, 468 Retweet Reach, 7 New Followers. See yours with...  ",pos
1362, : Man that was so cool to watch. Congrats   and    on the 1-2. I dream to be in that position o...,pos
1363, : Im voting for   for New Artist of the Year presented by T-Mobile at the #AMAs 2,neu
1364,"as much as i want this, i can only see this happen for a korean/taiwanese/chinese drama  even kdramas are branchin...  ",pos
1365,senior years is a roller coaster of emotions.,neu
1366, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
1367,"Id draft Jason Witten over Gronk . Every . Single . Time .

@ me, please .",pos
1368, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
1369," : I appreciate that you wrote a whole article about it, but I think ""small penis"" would have sufficed.  ",pos
1370," : here we've been trying to get rid of arab dictators in the middle east and instead, we ended up with a new one in america.",neu
1371,    Can you see him in a boardroom oh my God I'd make him cry!,neg
1372,4 people followed me and one person unfollowed me // automatically checked by  ,neu
1373, : A much simpler time  ,neu
1374,"For international men's day I performed on a lineup with three incredible, diverse, spirited female solo musicians...  ",pos
1375,A FUCKING CAST OMG #RIVERDALE #AMAs2017,neu
1376,  Ur my pika girl  ,neu
1377," : This is Lena Dunham's main problem: she has acquired the unshakeable idea that her perspective, no matter how ill t... ",neg
1378," : Stage name: Niho ()
Real name: Niall Horan
Debuted: 2010
Ex member of 1 Dimension
Has a solo album named ""annyeon... ",neu
1379, : Body cam footage caught police planting cocaine on a Black suspect  ,neg
1380, :     Conspiracy against the United States is a very big deal in America (25-50 years i... ,neg
1381, : Note how Trump is acting like theres still a decision to be made. He stands for nothing. He wants people to beg fo... ,pos
1382,Suit super clean  ,pos
1383, : He got replaced by a high school QB and the Pats still won 11 games. The real key to the Patriots dominance is Beli... ,pos
1384,    Bring your neighbors and a flashlight. #oneFAYLE,neu
1385, : So Lerner is afraid of retaliation if say her private information & discussions were to become public & used agains... ,neu
1386, : I dont approve because l wanna date zach ,neu
1387, : omfg   won all the awards and hasnt even dropped a single  ,pos
1388,"  Absolutely, positively a man problem and there seems to be no end to it. Many, many more women in posi...  ",neg
1389," : THIS IS WHY WE TAKE A KNEE.. THIS IS WHY WE SCREAM FUCK THE POLICE, THIS IS WHY WE SAY BLM, THIS IS WHY WE PROTEST,... ",neg
1390," : Hello Government can you Vet your GOP supporters and the Dems
A bunch of sexual perverts   ",neg
1391, : Don't forget how important a free & open Internet is. There's no reproductive freedom without access to accurate in... ,pos
1392, : A   from   TO YOU! #BTSxAMAs #AMAs  ,neu
1393, : Trump sexually assaulted dozens of women & Republicans could literally care less. They roll their eyes & act like ... ,pos
1394, : Doing your makeup and realising you have no wudu   ,neg
1395," : Maybe this is why he's tweeting about LaVar:

 's Oklahoma Campaign Chair just agreed to plead guilt... ",pos
1396,"  Look at the bright side, your Christmas tree is up, annnd you're getting a football this year",pos
1397, : bts could stand on that stage and breathe for 4 minutes and theyd still have more stage presence than everyone tha... ,neu
1398, : RT & follow   for the chance to win a Braun Strowman Pop! #SurvivorSeries  ,pos
1399,where'd all the hype go,neu
1400,rt to be in a nice fun gc,pos
1401,"  [frown. lean against? something?? wall????] They all went through a suicide pandemic nuclear apocalypse, so.",neg
1402,Mood seeing yall figuring out a way to talk about Jackson even though you dont stan  ,neu
1403,      knowledge without wisdom is a mockery.,neg
1404," : FIRED! Apples diversity chief IS OUT after outcry after she issuesTRUTHFUL STATEMENT:
""Being a minority or a wom... ",neg
1405," : In her only TV performance of 2017, Selena Gomez just returned to the #AMAs stage with a bang:... ",neu
1406,"You  are such a genuine, raw talented artist,
you blessed us with your amazing performance  tonight
WE LOVE YOU YOU...  ",pos
1407," : 171118 Wanna One Hottracks Fansign (#LeeDaehwi) 

Q. Rank your hyungs mental ages from youngest to oldest. 

1. Dan... ",neu
1408,  Chick-fil-A like 3x a year. The waffle fries have my heart,pos
1409, : Kindness is a strength. Anyone can act out and speak their mind. It takes a lot more strength to respond with kindness and...,pos
1410, : Really? This goes to prove my point that they care more about a fetus than an actual child.  ,pos
1411, : Huge upside and potential for this guy.  Hope someone takes a chance on him.     ,pos
1412," : A little Kurdish angel ,the the victim of the earthquake in #Kermanshah/ #Kirmanshan in #Kurdistan

Photo via Iran... ",neg
1413," : In case you don't live in L.A, here you go #BTSARMY - part of my interview with   on the red carpet of The... ",neu
1414,i draw like 2 things every 4 months,pos
1415, : THATS A BOI  ,neu
1416," : CUANDO NOMBREN A NIALL NO VA A TENER A LOS CHICOS PARA ABRAZARLOS ME DUELE EL CORA

I'm voting for   f... ",neg
1417, : Its a story of a journey to world untied & acceptance. Its a story of army of love not war. Its a story that will... ,pos
1418, : Thank you everybody who came out to Riverside & helped make last night a badass fuckin gig  we love you all beyo... ,pos
1419," : Tonight my mom called needing #sleep help and I knew exactly what to do...had a nice chat, then sent...  ",pos
1420, : You know that GOP lawmaker/Trump state campaign chair who just agreed to plead guilty to child sex trafficking? He... ,neg
1421,Love taking my truck for a wash ,pos
1422,  Everyone saying im a misogynist ,neu
1423, : I could watch this all day he's a beautiful soul  ,pos
1424," : 2 0 0 0       A C C O U N T       G I V E A W A Y

Nike Verified Accounts will restock in time for Off Whites and... ",neu
1425," : One of the first steps to reforming our broken criminal justice system is fixing bail reform. 
 ",neg
1426, : #GOT7s #Jackson looks so good in suit - you can tell even from a distance #AMAs  ,pos
1427, : Is there any doubt the Patriots are the NFL's best team and that Tom Brady is the MVP so far? He won't win it - too... ,neg
1428,u know instead of these MCs talking.................mnet could have played red velvet peek a boo................but they aint,pos
1429,Check Pls  lol  ,pos
1430, : Pls god protect our USA president Christina Aguilera she is a legend who deserves all the success send ur angels to... ,pos
1431," : Lovelyz Hanteo Sales Album :
171114 (Day 1)    4511
171115 (Day 2)    2800                    
171116 (Day 3)    11... ",neu
1432,    I plan on getting a better lawn chair. If Im going to be spending more hours at the fiel...  ,pos
1433,"    Hes a good special teams player, thats why he would be re-signed",pos
1434," : Now playing a video about Chabad in Vietnam. #kinus
When Chabad came there was no synagogue, no mikvah. There were... ",neg
1435,    Australia is a disgrace to the human race #ManusIsland,neg
1436," : If   ever springs me from a Chinese prison, I'll have 2 words for him:  ""THANK YOU!""",neg
1437, : Everybody has gone through something that has changed them in a way that they could never go back to the person they on...,neu
1438," : Friends, brands, regular men, lend me your ears: Don't do that crap where you split up your photo into 9 smaller ph... ",pos
1439," : [INFO] BTS will be the 16th performer out of a total of 17 teams, performing right before the finale 
#... ",neu
1440,      He sound a lot like the guy from this news story    ,pos
1441," : Eagles blitzing like mad. Dak went to his ""hot"" read - Dez on the fade. He just wasn't open. Darby ran the route be... ",neg
1442,are bts going to take a piss or getting ready to perform,neg
1443, : [DISPATCH]   #BTSxAMAs #AMAs    ,neu
1444, : Stay prayd up. And hope for the best. The devil is busy!,pos
1445, : Some of us females really want nothing from a nigga but REALNESS. And you niggas still falling short ,neg
1446,"  Bitch shuuuuut the hell up!  theyre not excuses, if we had Elliot he would be running all over your Eag...  ",neg
1447,"Dangerous enough to make you want to stay away, but nevertheless youll want a dose everyday.",pos
1448," : Senator Susan Collins on #SOTU

Wants 2 bills to pass Senate before any repeal of the ACA mandate in the... ",neu
1449," : If you're a female reading this, I pray that you find a man who treats you with respect and shows the love he has t... ",pos
1450," : The heifer Ann Coulter is describing a woman who represented America and medaled in the Olympics. You're pathetic,... ",neu
1451,14 people followed me and 2 people unfollowed me // automatically checked by  ,neu
1452, :     The fact that she reports for CNN completely nullifies any reason to qualify her as a journ... ,neu
1453,  - [BANK OF CHINA] Rejuvenate and brighten up your skin for the upcoming year-end parties wi...  ,pos
1454,Respect to 2 great ones!      ,pos
1455, : Enter for a chance to win $5 (WW) | Super #StockingStuffer #Giveaway Hop |   | Ends 11/29  ,pos
1456,"Maybe this is just a simple song...
 
           ",neu
1457," :     I remember when Christians used to do good things for the poor, the helpless, and the abando... ",neg
1458, : Hope they surprise me with a great match.,pos
1459, : If you think shoplifting from a store should be punished by 5 to 10 years in prison (it's between six months and a... ,neg
1460," : ""What has Hillary done except be the self-pitying, robotic defendant of someone (Bill Clinton) who is a pathologica... ",neu
1461,This stuff gets old tbh...  ,neu
1462,"RT @  #HappyBirthdayMichael 

 mikes hair colors ; a thread ",neu
1463,"      Yeah, but in all of those cases the starer is on their rookie deal or they are no...  ",pos
1464, : This is the response that will keep Pakistan under check. Kashmir safe. A few more years of sustained work will sol... ,pos
1465, : he literally just has a bag of snacks  ,neu
1466, : Cant believe I have to type these words: A president should never be willing to leave US citizens in a foreign jai... ,neg
1467,"In a recent tweet, Trump referred to himself as your favorite President. Who is he talking to their exactly?",pos
1468,  yes lol check his gf snap! they had a gender reveal,pos
1469, : Many in Govt told us #SSM and citizenship were 2nd order issues. Now Govt claims it has literally nothing else wort... ,neu
1470, : Chiefs losing 4 of last 5 reminds me that was good enough to get Washburn a bowl game. #disgusted,pos
1471,How to Start A Care Agency: Discover the Steps to Start Your Agency in 60 Days (Part 1)    ,pos
1472,"I have been on Twitter for 1 year, 4 months, 11 days (since 9 Jul 2016).
And you?  ",neu
1473," : In this economy?!?!??! is such a good response for everything.

hey how r u
IN THIS ECONOMY??

wanna go out fo... ",pos
1474,Texas authorities serve Apple a warrant for mass shooter's iPhone    ,neu
1475," : Whoopee! Man, that may have been a small step for Neil,
but thats a long one for me! 
November 19, 1969
#OTD 48... ",neu
1476, : THEM JAMMING TO SORRY NOT SORRY AND SEOKJIN JUST BLEW A HAND KISS NJFHGSKJGHK I'M SCREAMING!! #JIN #BTSxAMAs #AMAs  ,pos
1477, : JACKSON SCREAMING AT THE BEGINNING IDKDJDJNSH A WHOLE FAN #JacksonxAMAs #AMAs  ,neg
1478," : people think this is alright? this girl is literally in his face, screaming at him, degrading & publicly embarrassi... ",neg
1479," : Have a wonderful day Twitter friends! 
May it be filled with love, peace and happiness! 

~T~  ",pos
1480," : QUEEN OF CHICK FLICKS 
AN ICON 
she is both the bitch Regina geroge of the iconic mean girls and sweetheart ms.alli... ",pos
1481, : That's how impactful leaders are; you elect a wrong person to power and you are locked into some painful dance for... ,neg
1482,BITCH get out okay lemme see YOUR outfit because Im 1000000% sure youre not slaying like this  ,neg
1483, : Tell us what you loved most about  's #AMAs performance & RT this post to WIN a SIGNED... ,pos
1484," : BTS, the first to stand and applaud pt 2  #BTSxAMAs  ",pos
1485,  I agree with u on that.  And if they cheer for him they wanna find a reason to call that person out on it smh,pos
1486," : WTF!!
Hillary doesn't think her crimes should be investigated, because she LOST the election. It would be demoraliz... ",neg
1487, : AMAs LIVESTREAM RT TO SAVE A LIFE   ,pos
1488,OH MY GOD???  ,pos
1489," : BONUS: Because we love our Twitter Party participants, and we love coffee, we're giving away a   12 Cu... ",pos
1490,"NWO Dead; Marines Lock Down CIA ?   w/ Abel Danger , Very Informative .. A Must Watch & RT",neg
1491," : Take a ride in the sky , on our ship fantasize , all your dreams will come true , right AWAAAAAAAAAAAAAAAYY  ",pos
1492, : This show has been a roller-coaster of emotions for   #SurvivorSeries,neu
1493,Our Turkey Fruit Flans are our Number 5 Baked Good that will make a SCRUMPTIOUS addition to...  ,pos
1494," : The heifer Ann Coulter is describing a woman who represented America and medaled in the Olympics. You're pathetic,... ",neu
1495, : Get you a shorty who just wanna kick it w/ you.. the type where no matter what y'all do shes happy just being in your prese...,pos
1496,"Think cat's been out of the bag for a bit already but now you can see that we're closer. Flow undercuts, NAO unimpr...  ",neu
1497,Cutest thing  ,pos
1498, : So I've decided to smarten-up my race notes for commentary with   by lettering each circuit in a folde... ,neu
1499," : Here's a message to the dozens of Women that Trump has likely assaulted over the years.

Please come forward.  Don'... ",neg
1500, : Todays win over the Raiders in Mexico City was Bill Belichicks 271st as a head coach and moved him past the legen... ,pos
1501,aren't you like 4'9??  ,neg
1502," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
1503,"I'm at Export Bank Plaza in Makati City, Metro Manila  ",neu
1504,One of our own little frogs!  ,neu
1505,It's Dixy y King. Honk. Let the cartoon begin. Starring Yodah. I just went to constipation and fart a stool softene...  ,neu
1506,Just watched a house hunters and they didn't like any of the options and didn't even pick a house!? Wtf is this! So...  ,neg
1507,"My TL should only consists of single woman 18+ , People who post quality memes and share good music. If you got a BF or in HS block me rn",pos
1508," : So, a couple of things: 

1) Our favorite president is Barack Obama, whose shoes you aren't fit to shine, and will... ",pos
1509, : That 8-2 feeling  ,pos
1510," : 171120 Rachel Platten posted a photo with   RM, Jimin and J-hope #BTSxAMAs #AMAs LOL NAMJOONs FACE  (... ",pos
1511," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
1512,Im gonna be spending a lot more nights in Laplace ,neu
1513,  You should get all the credit and heaps and gobs of credit. I think you may be the first president...  ,pos
1514," : Net Worth before running for president

Trumps -    $4.5B
Obamas -  $3M
Clintons  -  $480,000

NOW

Trumps -   $3.5... ",pos
1515," : Dear  : As public servants, we help people because it is the right thing to do, not because we want... ",pos
1516,i want eczema lady to have a happy ending,pos
1517,"How To Calm A Crying Baby - Dr. Robert Hamilton Demonstrates ""The Hold"" ...   via  ",neg
1518," : Just think about it, one of the richest countries in the World ( Saudi Arabia) is subjecting the poorest country in... ",neg
1519," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
1520," : RT & follow   for a chance to WIN a #StarWars Kylo Ren with Tie Fighter Pop!
 The Last Jedi box close... ",pos
1521, : [DISPATCH]   #BTSxAMAs #AMAs    ,neu
1522," : ""Darth Vader has a lightsaber, Voldemort only has a tiny wand""  ",neu
1523,  I play the game Rainbow Six: Siege and I can't seem to figure something out. Do the devs not think...  ,pos
1524,"      It'll be used as a terror cell to radicalize people. Way to go, NH! That's wha...  ",pos
1525, : #BDHoliday     I like surprises!  ,pos
1526,I liked a video smoking loud thoinks for the memes in my mentions.,pos
1527,hell yeah  ,neg
1528," : Niasse, Morata, Salah, Ward, Daniels all probably rising in price tonight 

Aguero close to a drop",neg
1529,I liked a   video   TRYING TO GET LEBRON AUTOGRAPH! GOT ME BANNED FROM THE NBA!,neg
1530, : I'm a work in progress I'm not even through,pos
1531,"I've got a VCV! It's still a work-in-progress one, but I'm pretty sure Master will release it!",pos
1532, : Know someone who recently took an L? Make it memorable by sending them a real life L. Available now at... ,neu
1533, : 2 days ago   tweeted that he was halting issuing permits for import of Lion and Elephant Trophies fr... ,neu
1534,Holy shit!  ,neg
1535," : Wifi is being horrible, time for a break.

Bye for now twitterverse.

Ural Owl 
by Jari Peltomaki  ",neg
1536," : Yo it's #InternationalMensDay today! There is a lot to talk about!
-Men's physical and mental health
-Male violence... ",neu
1537," : 2 0 0 0       A C C O U N T       G I V E A W A Y

Nike Verified Accounts will restock in time for Off Whites and... ",neu
1538," : Ignoring the political issue: People, even otherwise very smart people, don't understand how tax brackets work.  ",pos
1539,#SurvivorCastMatters I like Charlotte but until she can do a big thing without her pops showing up it makes me thin...  ,pos
1540,Enter for a chance get Yeezy Boost 350 V2 'Red'. #GOATBLACKFRIDAY    ,pos
1541,L E G E N D  ,pos
1542," : In honor of the new The Incredibles 2 trailer, 
heres the most iconic scene from the first one.
A true milestone... ",pos
1543, : JACK JACK STILL A BABY CAUSE INCREDIBLES 2 IS 5 MINS AFTER THE FIRST ONE YALL NIGGAS FAKE FANS ON GOD I BET NOT CAT... ,neg
1544," : On this, the end of #InternationalMensDay, I want to point out that we live in a deeply misogynist country.",pos
1545,  Considering her dead defended a Pedophile....probably not that tough,neg
1546, : I wonder if SM made a truck with a bigass screen roam around Seoul again while playing Peekaboo MV like they did wi... ,pos
1547, : Like you dont open doors for a hoe and you just want the neck nothin more  ,pos
1548,Oh fuck   ,neg
1549, : this is unbelievably relatable  ,neu
1550,      you guys have a big time challenge next week in the Saints. Kerp your heads up an...  ,pos
1551, : We love a malfunction  #JoanneWorldTourDC #JOANNEWorldTour  ,pos
1552," : ""I haven't heard you in a while""
Because talking to you is pointless and I don't have time to waste",neg
1553,  When does he does say this... theres been a lot of evaluations going yet nothing to show for it as...  ,neu
1554, : 4 years ago today me and   invented the microwave.  ,neu
1555," : Your circle should want to see you win. Your circle should clap loudly when you have good news. 

If not, get a new circl...",pos
1556, : WHOS EXCITED FOR SEASON 2    ,pos
1557,"you wear a thousand faces 
tell me, tell me which is you",neu
1558, : Dropped outta school now we dumb rich  ,pos
1559, : Like a lot more  ,pos
1560, : i dont believe shit a mf say to me lmao,pos
1561,  thanks   for the memories. Its been a great ride. #Appreci88ion  ,pos
1562," : Were on a quest to catch 3 billion Pokemon in one week, and we're going to need your help! #PokemonGOtravel... ",pos
1563," :   Overall: 
They're definitely well suited for their price range. I got gifted a random store bought bra... ",pos
1564,      has it so right when they spoof   &  . These dickheads don't have...  ,neu
1565,"Cheating on a female is deeper than what people realize. It destroys her outlook on love, her future relationships && peace within herself",pos
1566," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
1567,Hey sai have a wonderful happy birthday  keep rocking your this Spacial day for you keep smiling   ,pos
1568," : BTS, the first to stand and applaud pt 2  #BTSxAMAs  ",pos
1569,mad asl still that last year I got a 78 in honors chemistry ,pos
1570,"new overwatch character: moira 
m o i r a 
m a i r o 
m a r i o 
new overwatch character: mario",neu
1571, : Just figured I'd post all of the abo related stuff together  ,neu
1572,"  I need to learn about driving a car, fast and furious style. I don't think my 'ack there's a snowflak...  ",neg
1573, : I was never a jealous or insecure person until I was shown that I was so easy to throw away for just about anything,pos
1574," : Isaiah 26:3-4 ""You keep him in perfect peace whose mind is stayed on you, because he trusts in you. Trust in the Lo... ",pos
1575,"CLASS OF 2019: There will be a spirit night at Pizza Roma starting at 6:30, all proceeds will go to our class. You...  ",pos
1576, : its pretty obvious theyre gonna make bts perform near the end or at the very end but honestly if they were to end... ,pos
1577,"DET 77 MIN 84 Q4 7:47
Andre Drummond offensive rebound
P:16 R:14 A:3 S:0 B:1 T:5
FD:35.3 DK:39.0",neg
1578,yu part 2  ,neu
1579,Why does buying a car have to be so stressful?,neg
1580, : Our Pop! Factory at #FunkoHQ is now open! Here's a closer look at what to expect!  ,neu
1581," : In this economy?!?!??! is such a good response for everything.

hey how r u
IN THIS ECONOMY??

wanna go out fo... ",pos
1582," : WHAT A GREAT PICK   MADE
SCOTUS Gorsuch's speech threw down the gauntlet on constitutional originalism
It's a... ",pos
1583,"Clean out a corner of your mind and creativity will instantly fill it. - Dee Hock
#DeeHock #creativity #mind  ",pos
1584, : Ridiculous to add 1.7 trillion to our deficit when we cant help restore basic needs to our citizens after a disast... ,neg
1585,Watching Would You Rather for the 2nd time...such a fucked movie,neg
1586, : when she thinks it's a dick appointment but ur really gonna teach her about the word of god >,pos
1587,I have a feeling this is gonna be a good episode #TheWalkingDead  ,pos
1588,      BTS ARE A FEAST ,neu
1589, : The year-end school holidays are here! To all students: have a good break & do spend time with your family.  LHL... ,pos
1590," : JK at BBMAs: eating biscuits

Jk at AMAs: eating again

Someone give this kid a little more food...

#AMAs ... ",pos
1591," : It's called dignity sweetie,
and you're not gonna find it on your knees in the JNU campus  ",pos
1592,The government of Japan recently passed a law that effectively forbids all forms of #Aborting the shit out of a #fetus.,pos
1593, : Calling all Frogs! 1 win away to play for a Championship! Bring us home!!!!!,pos
1594, : I want to be in Punta Cana soaked in tanning oil with a drink in my hand,pos
1595,  That's a random local news guy. Not even sports. Trust me - McDerm getting raked over the coals here.,pos
1596,"a canister is a monument: inaudible, but not irrefragable",neu
1597,  I don't think I've ever been more hyped for a stream. I haven't seen any Skyrim vr,neu
1598, : why are racists so bad at memes  ,neg
1599, : #BaitikochichusteFullSong Smashes 4M Views | #PSPK25 #TrivikramSrinivas   | A   musical ht...,neu
1600," : due to timezone discrepancies i request a motion that all pictures of food in group dm be referred to as ""Lunch pics"", even if th...",neu
1601,Didn't they have the number 1 offense and defense and still one and done  ,pos
1602," : Doggerel: 4am GMT Thursday 16th November: 1st Test India v Sri Lanka. 
Good training for The Ashes  a week Thursda... ",pos
1603," : See Oprah, Reese Witherspoon and Mindy Kaling as celestial beings in Disney's trailer for 'A Wrinkle in Time'  ",neu
1604, : Mueller knows so much more than we do - noose is tightening  ,neu
1605," : BTS, the first to stand and applaud pt 2  #BTSxAMAs  ",pos
1606,"If you want to be a 10/10 bestfriend, you need to listen to foster the people, cause bf always do things for each other",pos
1607," : This is  , tweeting that he shouldve left three collegiate athletes in a Chinese jail because one of their fa... ",neu
1608,made it feel like it was a big Third Wheel scenario as an excuse for two people to flirt the whole time even if it wasnt,pos
1609, : it's a big big house with lots and lots a room a big big table with lots and lots of food a big big yard where we c... ,neu
1610,                 ...  ,neu
1611," : The heifer Ann Coulter is describing a woman who represented America and medaled in the Olympics. You're pathetic,... ",neu
1612,"Have you check out our new post in the blog? We did a new post specially for you, so you can protect and beautify y...  ",pos
1613, MY LIFE  ,neu
1614," : Apu, the character on The Simpsons who owns the famed Kwik-E-Mart, is the focus of a documentary about race in popu... ",neu
1615, : You are so unpresidential in your discourse - its legitimately shocking how clueless you seem to be on a day to da... ,neg
1616,  No looks like a young version though,pos
1617,Im a fool for you  ,neg
1618, : This is a bad idea. #Bangladesh must understand the meaning of diplomacy establishes the idea of keeping the dialog... ,neg
1619," : if school makes you depressed, stressed, and gives you anxiety rt this please, im trying to prove a point to my teacher",neg
1620,Bonus of being a drummer in a storage unit: I always have sticks to start a fire.,pos
1621," : Kim Taehyung, a Shawn Mendes fanboy
#BTSxAMAs #AMAs  ",neu
1622,"    See what obama,jesse jackson,al sharpton, michelle obama all say. And honestly, its your o...  ",pos
1623,What an amazing time. Proud to be a part of the first PAX in my adopted home. #Unplugged #PAX  #WelcomeHome  ,pos
1624," : Como que resiste a esse rostinho?! Shawn Mendes arrasando com ""There's Nothing Holdin' Me Back"" no #AMAs  ",neg
1625, : Pass vs Bigg K. Tomorrow.    ,neu
1626,"I liked a   video   HEROIC BAR is INSANE in COD WW2! (DUDE UP II) - Call of Duty WW2 HEROIC ""BAR"" DUDE UP",pos
1627, : I'm a work in progress I'm not even through,pos
1628," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
1629, : Like you dont open doors for a hoe and you just want the neck nothin more  ,pos
1630,Or someone could have been prying into a person's chart after seeing that post and wrote someone all the way off.,neu
1631,Keep taking Ls ...,neu
1632," : people think this is alright? this girl is literally in his face, screaming at him, degrading & publicly embarrassi... ",neg
1633," : On November 28, the Government will offer a formal apology to LGBTQ2 Canadians in the House - for the persecution &... ",pos
1634," : If 5-10 years is the appropriate penalty for shoplifting, what should the punishment be for serial sexual assault o... ",neg
1635,"""Netflix has been taking a lot of blows when it comes to sexual harassment these past few weeks""
Phrasing.",neg
1636,"Don't tell me you got a bf if you ain't never post a pic or a snap in the car with him or at dinner, cus you lying",neg
1637,I liked a   video   THE SIMS 4 CRUELLA DE VIL (Inspired) Create A Sim & Speed Edit,pos
1638,"  hoshi, theres a rumour saying that hes being abusive with members during practice, mistranslated bc th...  ",neg
1639,  This has nothing to do with the wall. Your efforts to step up enforcement necessarily leads to mor...  ,neu
1640,"  Oh I see, they are a bit strange, but I don't see anything wrong with them.",pos
1641," : Q. What is something that has made you feel happy recently?

Tae: Ive been thinking about buying my parents a car... ",pos
1642,destruction is a form of creation,neg
1643,What the?????  ,neu
